values,ind
2007,Berners-Lee et al. (2012) (plant+)
2117,Berners-Lee et al. (2012) (diary+)
1560,Meier & Christen (2013)
1405,Scarborough et al. (2014)
734,Taylor (2000) (cradle-to-farmgate)
838, Taylor (2000) (cradle-to-retail)
1171,Taylor (2000) (cradle-to-plate)
985,Tyszler et al. (2016)
1168,Van Dooren et al. (2014) 
1118,Werner et al. (2014)
